AreaName,BirthPlace,Total_Persons,Total_Males,Total_Females,Rural_Persons,Rural_Males,Rural_Females,Urban_Persons,Urban_Males,Urban_Females
JAMMU & KASHMIR,Himachal Pradesh,9187,2753,6434,3847,714,3133,5340,2039,3301
JAMMU & KASHMIR,Punjab,45780,12287,33493,18604,3543,15061,27176,8744,18432
JAMMU & KASHMIR,Chandigarh,553,218,335,131,54,77,422,164,258
JAMMU & KASHMIR,Uttarakhand,3442,1718,1724,811,346,465,2631,1372,1259
JAMMU & KASHMIR,Haryana,6676,3419,3257,1818,893,925,4858,2526,2332
JAMMU & KASHMIR,NCT of Delhi,4700,1717,2983,632,230,402,4068,1487,2581
JAMMU & KASHMIR,Rajasthan,6267,3747,2520,1537,881,656,4730,2866,1864
JAMMU & KASHMIR,Uttar Pradesh,22304,12660,9644,5225,2890,2335,17079,9770,7309
JAMMU & KASHMIR,Bihar,14995,8071,6924,4368,1890,2478,10627,6181,4446
JAMMU & KASHMIR,Sikkim,59,23,36,21,4,17,38,19,19
JAMMU & KASHMIR,Arunachal Pradesh,66,36,30,20,9,11,46,27,19
JAMMU & KASHMIR,Nagaland,88,35,53,26,9,17,62,26,36
JAMMU & KASHMIR,Manipur,215,104,111,71,25,46,144,79,65
JAMMU & KASHMIR,Mizoram,46,21,25,10,2,8,36,19,17
JAMMU & KASHMIR,Tripura,98,54,44,27,10,17,71,44,27
JAMMU & KASHMIR,Meghalaya,99,47,52,18,5,13,81,42,39
JAMMU & KASHMIR,Assam,1452,743,709,307,107,200,1145,636,509
JAMMU & KASHMIR,West Bengal,10142,2645,7497,5038,478,4560,5104,2167,2937
JAMMU & KASHMIR,Jharkhand,2170,1084,1086,988,453,535,1182,631,551
JAMMU & KASHMIR,Odisha,2631,1531,1100,561,318,243,2070,1213,857
JAMMU & KASHMIR,Chhattisgarh,10751,5867,4884,3923,2140,1783,6828,3727,3101
JAMMU & KASHMIR,Madhya Pradesh,8214,4548,3666,1670,880,790,6544,3668,2876
JAMMU & KASHMIR,Gujarat,1074,602,472,197,94,103,877,508,369
JAMMU & KASHMIR,Daman & Diu,3,1,2,1,0,1,2,1,1
JAMMU & KASHMIR,Dadra & Nagar Haveli,6,2,4,5,1,4,1,1,0
JAMMU & KASHMIR,Maharashtra,4759,2355,2404,809,275,534,3950,2080,1870
JAMMU & KASHMIR,Andhra Pradesh,2361,1412,949,373,165,208,1988,1247,741
JAMMU & KASHMIR,Karnataka,1484,856,628,247,79,168,1237,777,460
JAMMU & KASHMIR,Goa,70,34,36,13,1,12,57,33,24
JAMMU & KASHMIR,Lakshadweep,105,63,42,57,37,20,48,26,22
JAMMU & KASHMIR,Kerala,2156,1311,845,318,128,190,1838,1183,655
JAMMU & KASHMIR,Tamil Nadu,2442,1753,689,222,95,127,2220,1658,562
JAMMU & KASHMIR,Puducherry,16,8,8,3,2,1,13,6,7
JAMMU & KASHMIR,Andaman & Nicobar Islands,49,27,22,8,2,6,41,25,16
JAMMU & KASHMIR,Afganistan,5,1,4,2,1,1,3,0,3
JAMMU & KASHMIR,Bangladesh,309,137,172,221,97,124,88,40,48
JAMMU & KASHMIR,Bhutan,9,3,6,4,1,3,5,2,3
JAMMU & KASHMIR,China,1486,765,721,206,107,99,1280,658,622
JAMMU & KASHMIR,Indonesia,10,1,9,2,0,2,8,1,7
JAMMU & KASHMIR,Iran,37,18,19,31,15,16,6,3,3
JAMMU & KASHMIR,Iraq,23,12,11,5,2,3,18,10,8
JAMMU & KASHMIR,Japan,18,4,14,2,0,2,16,4,12
JAMMU & KASHMIR,Kuwait,2,1,1,1,1,0,1,0,1
JAMMU & KASHMIR,Malaysia,1,1,0,0,0,0,1,1,0
JAMMU & KASHMIR,Mayanmar,508,273,235,3,0,3,505,273,232
JAMMU & KASHMIR,Nepal,2253,1300,953,748,432,316,1505,868,637
JAMMU & KASHMIR,Pakistan,22936,11747,11189,13645,7009,6636,9291,4738,4553
JAMMU & KASHMIR,Saudi Arabia,38,15,23,5,1,4,33,14,19
JAMMU & KASHMIR,Singapore,8,4,4,1,0,1,7,4,3
JAMMU & KASHMIR,United Arab Emirates,28,8,20,11,4,7,17,4,13
JAMMU & KASHMIR,Kazakstan,5,2,3,1,0,1,4,2,2
JAMMU & KASHMIR,Vietnam,1,1,0,0,0,0,1,1,0
JAMMU & KASHMIR,France,7,0,7,2,0,2,5,0,5
JAMMU & KASHMIR,Germany,28,6,22,2,1,1,26,5,21
JAMMU & KASHMIR,UK,58,23,35,5,0,5,53,23,30
JAMMU & KASHMIR,Kenya,1,0,1,0,0,0,1,0,1
JAMMU & KASHMIR,Mauritius,3,0,3,0,0,0,3,0,3
JAMMU & KASHMIR,Nigeria,2,1,1,0,0,0,2,1,1
JAMMU & KASHMIR,Uganda,2,0,2,0,0,0,2,0,2
JAMMU & KASHMIR,Canada,20,7,13,1,0,1,19,7,12
JAMMU & KASHMIR,U.S.A.,105,47,58,0,0,0,105,47,58
JAMMU & KASHMIR,Australia,15,5,10,5,2,3,10,3,7
JAMMU & KASHMIR,Fiji,3,1,2,0,0,0,3,1,2
HIMACHAL PRADESH,Jammu & Kashmir,13919,6934,6985,8726,3800,4926,5193,3134,2059
HIMACHAL PRADESH,Punjab,128605,35416,93189,93164,21560,71604,35441,13856,21585
HIMACHAL PRADESH,Chandigarh,7975,3277,4698,4045,1589,2456,3930,1688,2242
HIMACHAL PRADESH,Uttarakhand,23094,8934,14160,14444,4915,9529,8650,4019,4631
HIMACHAL PRADESH,Haryana,35173,11252,23921,20857,5232,15625,14316,6020,8296
HIMACHAL PRADESH,NCT of Delhi,13231,5647,7584,7007,3009,3998,6224,2638,3586
HIMACHAL PRADESH,Rajasthan,8611,4533,4078,4954,2612,2342,3657,1921,1736
HIMACHAL PRADESH,Uttar Pradesh,69607,42966,26641,37658,23366,14292,31949,19600,12349
HIMACHAL PRADESH,Bihar,40916,29272,11644,24016,16800,7216,16900,12472,4428
HIMACHAL PRADESH,Sikkim,559,388,171,369,276,93,190,112,78
HIMACHAL PRADESH,Arunachal Pradesh,951,518,433,618,349,269,333,169,164
HIMACHAL PRADESH,Nagaland,141,75,66,100,56,44,41,19,22
HIMACHAL PRADESH,Manipur,180,83,97,115,55,60,65,28,37
HIMACHAL PRADESH,Mizoram,62,20,42,34,9,25,28,11,17
HIMACHAL PRADESH,Tripura,88,37,51,72,29,43,16,8,8
HIMACHAL PRADESH,Meghalaya,147,62,85,78,32,46,69,30,39
HIMACHAL PRADESH,Assam,1837,1006,831,1324,737,587,513,269,244
HIMACHAL PRADESH,West Bengal,6320,3753,2567,3809,2265,1544,2511,1488,1023
HIMACHAL PRADESH,Jharkhand,12150,8017,4133,9075,6225,2850,3075,1792,1283
HIMACHAL PRADESH,Odisha,3566,2393,1173,1691,1039,652,1875,1354,521
HIMACHAL PRADESH,Chhattisgarh,5435,2940,2495,3538,1903,1635,1897,1037,860
HIMACHAL PRADESH,Madhya Pradesh,5319,3171,2148,3612,2246,1366,1707,925,782
HIMACHAL PRADESH,Gujarat,1084,526,558,574,271,303,510,255,255
HIMACHAL PRADESH,Daman & Diu,6,2,4,2,0,2,4,2,2
HIMACHAL PRADESH,Dadra & Nagar Haveli,1,0,1,1,0,1,0,0,0
HIMACHAL PRADESH,Maharashtra,4248,1950,2298,2440,1096,1344,1808,854,954
HIMACHAL PRADESH,Andhra Pradesh,1490,855,635,863,539,324,627,316,311
HIMACHAL PRADESH,Karnataka,1090,527,563,489,248,241,601,279,322
HIMACHAL PRADESH,Goa,74,48,26,46,28,18,28,20,8
HIMACHAL PRADESH,Lakshadweep,35,19,16,33,18,15,2,1,1
HIMACHAL PRADESH,Kerala,883,448,435,404,209,195,479,239,240
HIMACHAL PRADESH,Tamil Nadu,679,389,290,332,194,138,347,195,152
HIMACHAL PRADESH,Puducherry,4,3,1,1,1,0,3,2,1
HIMACHAL PRADESH,Andaman & Nicobar Islands,27,10,17,18,8,10,9,2,7
HIMACHAL PRADESH,Afganistan,29,20,9,13,10,3,16,10,6
HIMACHAL PRADESH,Bangladesh,65,22,43,51,13,38,14,9,5
HIMACHAL PRADESH,Bhutan,230,169,61,158,116,42,72,53,19
HIMACHAL PRADESH,China,10,4,6,7,3,4,3,1,2
HIMACHAL PRADESH,Indonesia,2,1,1,1,1,0,1,0,1
HIMACHAL PRADESH,Iraq,3,1,2,1,1,0,2,0,2
HIMACHAL PRADESH,Japan,8,3,5,4,2,2,4,1,3
HIMACHAL PRADESH,Kuwait,19,16,3,5,2,3,14,14,0
HIMACHAL PRADESH,Malaysia,6,2,4,4,2,2,2,0,2
HIMACHAL PRADESH,Mayanmar,19,8,11,4,2,2,15,6,9
HIMACHAL PRADESH,Nepal,56336,33681,22655,49451,29486,19965,6885,4195,2690
HIMACHAL PRADESH,Pakistan,4070,2130,1940,1499,796,703,2571,1334,1237
HIMACHAL PRADESH,Saudi Arabia,10,6,4,5,1,4,5,5,0
HIMACHAL PRADESH,Singapore,8,2,6,4,2,2,4,0,4
HIMACHAL PRADESH,Sri Lanka,1,0,1,1,0,1,0,0,0
HIMACHAL PRADESH,United Arab Emirates,6,2,4,1,1,0,5,1,4
HIMACHAL PRADESH,Vietnam,1,0,1,1,0,1,0,0,0
HIMACHAL PRADESH,France,20,14,6,15,11,4,5,3,2
HIMACHAL PRADESH,Germany,21,8,13,14,8,6,7,0,7
HIMACHAL PRADESH,Portugal,2,1,1,2,1,1,0,0,0
HIMACHAL PRADESH,UK,44,21,23,19,10,9,25,11,14
HIMACHAL PRADESH,Kenya,4,2,2,1,1,0,3,1,2
HIMACHAL PRADESH,Mauritius,1,0,1,0,0,0,1,0,1
HIMACHAL PRADESH,Nigeria,2,1,1,0,0,0,2,1,1
HIMACHAL PRADESH,Uganda,1,0,1,0,0,0,1,0,1
HIMACHAL PRADESH,Canada,140,81,59,40,32,8,100,49,51
HIMACHAL PRADESH,U.S.A.,76,30,46,35,14,21,41,16,25
HIMACHAL PRADESH,Australia,31,15,16,23,12,11,8,3,5
PUNJAB,Jammu & Kashmir,65886,19077,46809,28920,6273,22647,36966,12804,24162
PUNJAB,Himachal Pradesh,229077,85434,143643,91529,21469,70060,137548,63965,73583
PUNJAB,Chandigarh,121402,59550,61852,31131,14276,16855,90271,45274,44997
PUNJAB,Uttarakhand,62588,31222,31366,9470,4495,4975,53118,26727,26391
PUNJAB,Haryana,552369,157151,395218,281907,56782,225125,270462,100369,170093
PUNJAB,NCT of Delhi,43481,16164,27317,9829,3422,6407,33652,12742,20910
PUNJAB,Rajasthan,205259,68742,136517,106807,27560,79247,98452,41182,57270
PUNJAB,Uttar Pradesh,693328,385734,307594,173660,94231,79429,519668,291503,228165
PUNJAB,Bihar,375507,230828,144679,102187,63235,38952,273320,167593,105727
PUNJAB,Sikkim,216,114,102,48,23,25,168,91,77
PUNJAB,Arunachal Pradesh,319,166,153,85,46,39,234,120,114
PUNJAB,Nagaland,454,260,194,66,36,30,388,224,164
PUNJAB,Manipur,864,470,394,105,50,55,759,420,339
PUNJAB,Mizoram,290,186,104,22,12,10,268,174,94
PUNJAB,Tripura,399,218,181,98,48,50,301,170,131
PUNJAB,Meghalaya,442,226,216,96,42,54,346,184,162
PUNJAB,Assam,11441,5113,6328,3638,1351,2287,7803,3762,4041
PUNJAB,West Bengal,50550,23035,27515,16269,6199,10070,34281,16836,17445
PUNJAB,Jharkhand,21685,12419,9266,8907,5393,3514,12778,7026,5752
PUNJAB,Odisha,13203,6689,6514,3342,1434,1908,9861,5255,4606
PUNJAB,Chhattisgarh,8636,4394,4242,5184,2639,2545,3452,1755,1697
PUNJAB,Madhya Pradesh,34892,16816,18076,9096,4156,4940,25796,12660,13136
PUNJAB,Gujarat,8726,4078,4648,1805,717,1088,6921,3361,3560
PUNJAB,Daman & Diu,5,3,2,2,1,1,3,2,1
PUNJAB,Dadra & Nagar Haveli,5,3,2,2,2,0,3,1,2
PUNJAB,Maharashtra,33142,14801,18341,7695,2818,4877,25447,11983,13464
PUNJAB,Andhra Pradesh,8184,4089,4095,1187,512,675,6997,3577,3420
PUNJAB,Karnataka,4477,2217,2260,683,283,400,3794,1934,1860
PUNJAB,Goa,316,162,154,81,34,47,235,128,107
PUNJAB,Lakshadweep,164,102,62,99,64,35,65,38,27
PUNJAB,Kerala,7296,3695,3601,826,357,469,6470,3338,3132
PUNJAB,Tamil Nadu,6242,3431,2811,850,445,405,5392,2986,2406
PUNJAB,Puducherry,259,112,147,140,55,85,119,57,62
PUNJAB,Andaman & Nicobar Islands,233,114,119,68,28,40,165,86,79
PUNJAB,Afganistan,102,31,71,6,2,4,96,29,67
PUNJAB,Bangladesh,589,117,472,377,35,342,212,82,130
PUNJAB,Bhutan,42,17,25,11,5,6,31,12,19
PUNJAB,China,306,134,172,193,82,111,113,52,61
PUNJAB,Indonesia,129,50,79,65,23,42,64,27,37
PUNJAB,Iran,44,14,30,3,1,2,41,13,28
PUNJAB,Iraq,21,12,9,4,4,0,17,8,9
PUNJAB,Japan,14,4,10,4,1,3,10,3,7
PUNJAB,Kuwait,137,70,67,26,15,11,111,55,56
PUNJAB,Malaysia,553,240,313,332,159,173,221,81,140
PUNJAB,Mayanmar,870,426,444,235,105,130,635,321,314
PUNJAB,Nepal,30227,17894,12333,7161,4362,2799,23066,13532,9534
PUNJAB,Pakistan,264711,137605,127106,121174,63711,57463,143537,73894,69643
PUNJAB,Saudi Arabia,29,19,10,12,6,6,17,13,4
PUNJAB,Singapore,424,172,252,242,105,137,182,67,115
PUNJAB,Sri Lanka,72,15,57,37,3,34,35,12,23
PUNJAB,Turkey,2,1,1,2,1,1,0,0,0
PUNJAB,United Arab Emirates,515,258,257,182,101,81,333,157,176
PUNJAB,Kazakstan,1,0,1,0,0,0,1,0,1
PUNJAB,Vietnam,4,3,1,3,3,0,1,0,1
PUNJAB,France,16,5,11,11,2,9,5,3,2
PUNJAB,Germany,208,98,110,90,42,48,118,56,62
PUNJAB,Portugal,13,8,5,11,6,5,2,2,0
PUNJAB,UK,617,272,345,232,112,120,385,160,225
PUNJAB,Kenya,116,53,63,23,11,12,93,42,51
PUNJAB,Mauritius,9,3,6,0,0,0,9,3,6
PUNJAB,Nigeria,8,4,4,0,0,0,8,4,4
PUNJAB,Uganda,12,4,8,2,0,2,10,4,6
PUNJAB,Zambia,3,0,3,0,0,0,3,0,3
PUNJAB,Canada,1261,640,621,732,367,365,529,273,256
PUNJAB,U.S.A.,834,423,411,339,167,172,495,256,239
PUNJAB,Australia,593,320,273,331,173,158,262,147,115
PUNJAB,Fiji,12,2,10,7,2,5,5,0,5
CHANDIGARH,Jammu & Kashmir,5104,2578,2526,79,48,31,5025,2530,2495
CHANDIGARH,Himachal Pradesh,60465,33785,26680,2152,1402,750,58313,32383,25930
CHANDIGARH,Punjab,143340,65438,77902,2964,1101,1863,140376,64337,76039
CHANDIGARH,Uttarakhand,32711,18108,14603,1065,658,407,31646,17450,14196
CHANDIGARH,Haryana,88386,43066,45320,2151,947,1204,86235,42119,44116
CHANDIGARH,NCT of Delhi,15224,6204,9020,133,65,68,15091,6139,8952
CHANDIGARH,Rajasthan,9367,4937,4430,219,128,91,9148,4809,4339
CHANDIGARH,Uttar Pradesh,183247,106539,76708,7136,4428,2708,176111,102111,74000
CHANDIGARH,Bihar,53756,35323,18433,2477,1838,639,51279,33485,17794
CHANDIGARH,Sikkim,40,15,25,0,0,0,40,15,25
CHANDIGARH,Arunachal Pradesh,55,29,26,4,2,2,51,27,24
CHANDIGARH,Nagaland,48,20,28,0,0,0,48,20,28
CHANDIGARH,Manipur,629,370,259,0,0,0,629,370,259
CHANDIGARH,Mizoram,37,22,15,0,0,0,37,22,15
CHANDIGARH,Tripura,81,44,37,0,0,0,81,44,37
CHANDIGARH,Meghalaya,97,45,52,4,1,3,93,44,49
CHANDIGARH,Assam,1361,670,691,53,34,19,1308,636,672
CHANDIGARH,West Bengal,7432,3805,3627,247,138,109,7185,3667,3518
CHANDIGARH,Jharkhand,3382,1822,1560,242,176,66,3140,1646,1494
CHANDIGARH,Odisha,2026,1030,996,31,20,11,1995,1010,985
CHANDIGARH,Chhattisgarh,1253,636,617,17,10,7,1236,626,610
CHANDIGARH,Madhya Pradesh,3807,1870,1937,52,31,21,3755,1839,1916
CHANDIGARH,Gujarat,1335,650,685,16,7,9,1319,643,676
CHANDIGARH,Daman & Diu,2,2,0,0,0,0,2,2,0
CHANDIGARH,Maharashtra,3625,1601,2024,67,32,35,3558,1569,1989
CHANDIGARH,Andhra Pradesh,1340,656,684,12,4,8,1328,652,676
CHANDIGARH,Karnataka,924,485,439,4,2,2,920,483,437
CHANDIGARH,Goa,49,21,28,0,0,0,49,21,28
CHANDIGARH,Lakshadweep,7,4,3,0,0,0,7,4,3
CHANDIGARH,Kerala,1376,642,734,16,9,7,1360,633,727
CHANDIGARH,Tamil Nadu,3020,1483,1537,9,2,7,3011,1481,1530
CHANDIGARH,Puducherry,24,12,12,1,1,0,23,11,12
CHANDIGARH,Andaman & Nicobar Islands,37,20,17,0,0,0,37,20,17
CHANDIGARH,Afganistan,39,34,5,0,0,0,39,34,5
CHANDIGARH,Bangladesh,65,29,36,2,0,2,63,29,34
CHANDIGARH,Bhutan,34,16,18,0,0,0,34,16,18
CHANDIGARH,China,10,5,5,0,0,0,10,5,5
CHANDIGARH,Indonesia,12,5,7,0,0,0,12,5,7
CHANDIGARH,Iran,37,14,23,0,0,0,37,14,23
CHANDIGARH,Iraq,21,9,12,0,0,0,21,9,12
CHANDIGARH,Japan,4,3,1,0,0,0,4,3,1
CHANDIGARH,Kuwait,14,8,6,0,0,0,14,8,6
CHANDIGARH,Malaysia,24,11,13,0,0,0,24,11,13
CHANDIGARH,Mayanmar,81,47,34,0,0,0,81,47,34
CHANDIGARH,Nepal,7763,5033,2730,295,187,108,7468,4846,2622
CHANDIGARH,Pakistan,11611,6051,5560,38,21,17,11573,6030,5543
CHANDIGARH,Saudi Arabia,8,2,6,0,0,0,8,2,6
CHANDIGARH,Singapore,16,2,14,0,0,0,16,2,14
CHANDIGARH,Sri Lanka,2,0,2,0,0,0,2,0,2
CHANDIGARH,United Arab Emirates,12,4,8,0,0,0,12,4,8
CHANDIGARH,Kazakstan,1,0,1,0,0,0,1,0,1
CHANDIGARH,Vietnam,1,1,0,0,0,0,1,1,0
CHANDIGARH,France,9,3,6,0,0,0,9,3,6
CHANDIGARH,Germany,10,6,4,0,0,0,10,6,4
CHANDIGARH,UK,58,30,28,0,0,0,58,30,28
CHANDIGARH,Kenya,33,17,16,0,0,0,33,17,16
CHANDIGARH,Mauritius,4,0,4,0,0,0,4,0,4
CHANDIGARH,Nigeria,6,5,1,0,0,0,6,5,1
CHANDIGARH,Uganda,7,4,3,0,0,0,7,4,3
CHANDIGARH,Zambia,5,0,5,0,0,0,5,0,5
CHANDIGARH,Canada,67,33,34,0,0,0,67,33,34
CHANDIGARH,U.S.A.,157,85,72,0,0,0,157,85,72
CHANDIGARH,Australia,26,13,13,1,1,0,25,12,13
CHANDIGARH,Fiji,1,1,0,0,0,0,1,1,0
UTTARAKHAND,Jammu & Kashmir,7053,3889,3164,2991,1792,1199,4062,2097,1965
UTTARAKHAND,Himachal Pradesh,23642,8217,15425,15634,4889,10745,8008,3328,4680
UTTARAKHAND,Punjab,45207,19927,25280,20404,9615,10789,24803,10312,14491
UTTARAKHAND,Chandigarh,2204,899,1305,787,334,453,1417,565,852
UTTARAKHAND,Haryana,32647,12697,19950,10985,4193,6792,21662,8504,13158
UTTARAKHAND,NCT of Delhi,41647,16371,25276,13693,5724,7969,27954,10647,17307
UTTARAKHAND,Rajasthan,17766,8987,8779,5900,2956,2944,11866,6031,5835
UTTARAKHAND,Uttar Pradesh,921595,389711,531884,400702,148051,252651,520893,241660,279233
UTTARAKHAND,Bihar,84556,52320,32236,34316,21017,13299,50240,31303,18937
UTTARAKHAND,Sikkim,516,258,258,220,103,117,296,155,141
UTTARAKHAND,Arunachal Pradesh,968,520,448,442,256,186,526,264,262
UTTARAKHAND,Nagaland,668,357,311,365,203,162,303,154,149
UTTARAKHAND,Manipur,833,381,452,320,151,169,513,230,283
UTTARAKHAND,Mizoram,257,118,139,144,71,73,113,47,66
UTTARAKHAND,Tripura,396,201,195,177,91,86,219,110,109
UTTARAKHAND,Meghalaya,731,350,381,317,157,160,414,193,221
UTTARAKHAND,Assam,4936,2419,2517,2155,1021,1134,2781,1398,1383
UTTARAKHAND,West Bengal,28689,13196,15493,13374,5733,7641,15315,7463,7852
UTTARAKHAND,Jharkhand,11424,7056,4368,6101,4195,1906,5323,2861,2462
UTTARAKHAND,Odisha,4609,2469,2140,1615,825,790,2994,1644,1350
UTTARAKHAND,Chhattisgarh,3286,1567,1719,1436,696,740,1850,871,979
UTTARAKHAND,Madhya Pradesh,13257,6599,6658,4083,2035,2048,9174,4564,4610
UTTARAKHAND,Gujarat,3958,1972,1986,1139,537,602,2819,1435,1384
UTTARAKHAND,Daman & Diu,8,4,4,1,1,0,7,3,4
UTTARAKHAND,Dadra & Nagar Haveli,20,8,12,10,4,6,10,4,6
UTTARAKHAND,Maharashtra,11219,5260,5959,3887,1701,2186,7332,3559,3773
UTTARAKHAND,Andhra Pradesh,3271,1864,1407,1013,508,505,2258,1356,902
UTTARAKHAND,Karnataka,1867,935,932,644,307,337,1223,628,595
UTTARAKHAND,Goa,168,82,86,54,29,25,114,53,61
UTTARAKHAND,Lakshadweep,162,101,61,114,70,44,48,31,17
UTTARAKHAND,Kerala,2416,1158,1258,821,402,419,1595,756,839
UTTARAKHAND,Tamil Nadu,1731,975,756,433,237,196,1298,738,560
UTTARAKHAND,Puducherry,36,18,18,16,9,7,20,9,11
UTTARAKHAND,Andaman & Nicobar Islands,112,61,51,41,25,16,71,36,35
UTTARAKHAND,Afganistan,36,17,19,1,1,0,35,16,19
UTTARAKHAND,Bangladesh,13691,6557,7134,9781,4637,5144,3910,1920,1990
UTTARAKHAND,Bhutan,199,100,99,166,85,81,33,15,18
UTTARAKHAND,China,2037,1177,860,1019,571,448,1018,606,412
UTTARAKHAND,Indonesia,4,3,1,0,0,0,4,3,1
UTTARAKHAND,Iran,23,8,15,9,4,5,14,4,10
UTTARAKHAND,Iraq,3,2,1,0,0,0,3,2,1
UTTARAKHAND,Japan,14,6,8,5,4,1,9,2,7
UTTARAKHAND,Kuwait,21,9,12,4,1,3,17,8,9
UTTARAKHAND,Malaysia,14,6,8,5,1,4,9,5,4
UTTARAKHAND,Mayanmar,357,202,155,108,60,48,249,142,107
UTTARAKHAND,Nepal,46073,27222,18851,33510,19550,13960,12563,7672,4891
UTTARAKHAND,Pakistan,16109,8495,7614,5399,2877,2522,10710,5618,5092
UTTARAKHAND,Saudi Arabia,29,17,12,2,1,1,27,16,11
UTTARAKHAND,Singapore,24,10,14,15,7,8,9,3,6
UTTARAKHAND,Sri Lanka,18,12,6,7,3,4,11,9,2
UTTARAKHAND,United Arab Emirates,75,18,57,6,5,1,69,13,56
UTTARAKHAND,Vietnam,1,0,1,0,0,0,1,0,1
UTTARAKHAND,France,31,9,22,26,8,18,5,1,4
UTTARAKHAND,Germany,34,15,19,14,2,12,20,13,7
UTTARAKHAND,UK,35,13,22,8,2,6,27,11,16
UTTARAKHAND,Kenya,4,0,4,1,0,1,3,0,3
UTTARAKHAND,Mauritius,1,0,1,0,0,0,1,0,1
UTTARAKHAND,Nigeria,3,3,0,2,2,0,1,1,0
UTTARAKHAND,Uganda,2,0,2,1,0,1,1,0,1
UTTARAKHAND,Canada,25,15,10,8,5,3,17,10,7
UTTARAKHAND,U.S.A.,74,40,34,22,16,6,52,24,28
UTTARAKHAND,Australia,26,16,10,11,7,4,15,9,6
HARYANA,Jammu & Kashmir,17490,8495,8995,2382,1235,1147,15108,7260,7848
HARYANA,Himachal Pradesh,66174,24256,41918,22645,4459,18186,43529,19797,23732
HARYANA,Punjab,559732,171296,388436,269750,59771,209979,289982,111525,178457
HARYANA,Chandigarh,50437,23137,27300,7487,2388,5099,42950,20749,22201
HARYANA,Uttarakhand,87812,39824,47988,12412,3943,8469,75400,35881,39519
HARYANA,NCT of Delhi,387282,111783,275499,94634,7937,86697,292648,103846,188802
HARYANA,Rajasthan,625982,132820,493162,416755,50356,366399,209227,82464,126763
HARYANA,Uttar Pradesh,1177677,523885,653792,339851,101009,238842,837826,422876,414950
HARYANA,Bihar,424539,246421,178118,107809,62460,45349,316730,183961,132769
HARYANA,Sikkim,226,115,111,32,19,13,194,96,98
HARYANA,Arunachal Pradesh,308,166,142,76,32,44,232,134,98
HARYANA,Nagaland,382,188,194,81,44,37,301,144,157
HARYANA,Manipur,670,329,341,84,33,51,586,296,290
HARYANA,Mizoram,108,45,63,24,12,12,84,33,51
HARYANA,Tripura,1283,279,1004,862,87,775,421,192,229
HARYANA,Meghalaya,510,258,252,60,26,34,450,232,218
HARYANA,Assam,14672,5461,9211,5942,1350,4592,8730,4111,4619
HARYANA,West Bengal,84161,39929,44232,19644,7762,11882,64517,32167,32350
HARYANA,Jharkhand,24645,12629,12016,6139,3140,2999,18506,9489,9017
HARYANA,Odisha,19244,9817,9427,3173,1266,1907,16071,8551,7520
HARYANA,Chhattisgarh,12584,6201,6383,5832,2846,2986,6752,3355,3397
HARYANA,Madhya Pradesh,60682,30440,30242,14570,7500,7070,46112,22940,23172
HARYANA,Gujarat,9166,4122,5044,1593,633,960,7573,3489,4084
HARYANA,Daman & Diu,12,7,5,0,0,0,12,7,5
HARYANA,Dadra & Nagar Haveli,7,3,4,2,2,0,5,1,4
HARYANA,Maharashtra,27372,11313,16059,4546,1121,3425,22826,10192,12634
HARYANA,Andhra Pradesh,10716,4652,6064,2147,578,1569,8569,4074,4495
HARYANA,Karnataka,5733,2580,3153,533,172,361,5200,2408,2792
HARYANA,Goa,434,203,231,50,22,28,384,181,203
HARYANA,Lakshadweep,99,59,40,49,31,18,50,28,22
HARYANA,Kerala,11671,5538,6133,825,328,497,10846,5210,5636
HARYANA,Tamil Nadu,8529,4206,4323,711,335,376,7818,3871,3947
HARYANA,Puducherry,248,102,146,73,22,51,175,80,95
HARYANA,Andaman & Nicobar Islands,168,76,92,15,7,8,153,69,84
HARYANA,Afganistan,800,411,389,0,0,0,800,411,389
HARYANA,Bangladesh,872,294,578,302,34,268,570,260,310
HARYANA,Bhutan,49,16,33,4,1,3,45,15,30
HARYANA,China,280,230,50,222,207,15,58,23,35
HARYANA,Indonesia,23,12,11,0,0,0,23,12,11
HARYANA,Iran,52,21,31,0,0,0,52,21,31
HARYANA,Iraq,34,16,18,0,0,0,34,16,18
HARYANA,Japan,180,95,85,0,0,0,180,95,85
HARYANA,Kuwait,56,29,27,2,0,2,54,29,25
HARYANA,Malaysia,52,22,30,8,3,5,44,19,25
HARYANA,Maldives,1,0,1,0,0,0,1,0,1
HARYANA,Mayanmar,211,109,102,22,12,10,189,97,92
HARYANA,Nepal,26182,15535,10647,7689,4861,2828,18493,10674,7819
HARYANA,Pakistan,158844,79804,79040,45329,23128,22201,113515,56676,56839
HARYANA,Saudi Arabia,51,28,23,6,3,3,45,25,20
HARYANA,Singapore,85,27,58,14,4,10,71,23,48
HARYANA,Sri Lanka,34,17,17,2,0,2,32,17,15
HARYANA,Turkey,6,5,1,0,0,0,6,5,1
HARYANA,United Arab Emirates,109,50,59,4,4,0,105,46,59
HARYANA,Kazakstan,1,0,1,0,0,0,1,0,1
HARYANA,Vietnam,1,1,0,0,0,0,1,1,0
HARYANA,France,27,17,10,1,1,0,26,16,10
HARYANA,Germany,83,36,47,23,9,14,60,27,33
HARYANA,Portugal,4,2,2,4,2,2,0,0,0
HARYANA,UK,291,152,139,15,9,6,276,143,133
HARYANA,Kenya,39,21,18,4,1,3,35,20,15
