AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
UTTARAKHAND,Assam,5731,3093,2638,635,381,254,1612,964,648,983,469,514,1027,522,505,912,455,457,562,302,260
UTTARAKHAND,West Bengal,26298,12332,13966,1975,1266,709,4322,2142,2180,3059,1334,1725,5076,2126,2950,9875,4425,5450,1991,1039,952
UTTARAKHAND,Jharkhand,10768,6731,4037,2460,2018,442,3088,2041,1047,1333,673,660,1447,669,778,1703,876,827,737,454,283
UTTARAKHAND,Odisha,4224,2259,1965,389,252,137,1318,731,587,596,275,321,734,361,373,777,420,357,410,220,190
UTTARAKHAND,Chhattisgarh,3239,1563,1676,682,369,313,785,387,398,450,186,264,440,206,234,609,274,335,273,141,132
UTTARAKHAND,Madhya Pradesh,13268,6831,6437,1518,900,618,3836,2114,1722,1985,965,1020,2204,1004,1200,2690,1297,1393,1035,551,484
UTTARAKHAND,Gujarat,5344,2874,2470,648,404,244,1767,951,816,806,418,388,991,500,491,734,372,362,398,229,169
UTTARAKHAND,Daman & Diu,45,36,9,11,10,1,21,17,4,9,5,4,2,2,0,2,2,0,0,0,0
UTTARAKHAND,Dadra & Nagar Haveli,66,38,28,3,2,1,28,15,13,16,10,6,3,1,2,5,2,3,11,8,3
UTTARAKHAND,Maharashtra,13114,6668,6446,1420,854,566,3760,1941,1819,1966,938,1028,2276,1044,1232,2162,1060,1102,1530,831,699
UTTARAKHAND,Andhra Pradesh,3565,2078,1487,549,368,181,1298,799,499,382,192,190,532,268,264,426,236,190,378,215,163
UTTARAKHAND,Karnataka,2330,1237,1093,302,170,132,769,404,365,262,134,128,353,169,184,336,175,161,308,185,123
UTTARAKHAND,Goa,236,116,120,32,17,15,86,45,41,30,15,15,49,22,27,26,10,16,13,7,6
UTTARAKHAND,Lakshadweep,328,203,125,2,1,1,16,6,10,9,6,3,14,5,9,19,6,13,268,179,89
UTTARAKHAND,Kerala,1962,980,982,249,137,112,675,316,359,214,102,112,256,126,130,286,138,148,282,161,121
UTTARAKHAND,Tamil Nadu,1748,983,765,245,148,97,615,359,256,213,106,107,187,98,89,225,119,106,263,153,110
UTTARAKHAND,Puducherry,69,37,32,7,6,1,28,16,12,14,6,8,6,2,4,10,4,6,4,3,1
UTTARAKHAND,Andaman & Nicobar Islands,110,59,51,10,5,5,35,20,15,20,10,10,15,8,7,20,11,9,10,5,5
HARYANA,Jammu & Kashmir,17700,8771,8929,1194,587,607,4036,1759,2277,2621,1214,1407,2992,1387,1605,2980,1415,1565,3877,2409,1468
HARYANA,Himachal Pradesh,60586,21663,38923,2796,1175,1621,11271,4034,7237,9615,3248,6367,13660,4525,9135,18576,6448,12128,4668,2233,2435
HARYANA,Punjab,538328,161792,376536,18360,6731,11629,66819,17773,49046,66005,16740,49265,118816,31934,86882,231154,71993,159161,37174,16621,20553
HARYANA,Chandigarh,71890,34252,37638,3721,1755,1966,13368,5947,7421,12611,5561,7050,19912,9356,10556,15934,8297,7637,6344,3336,3008
HARYANA,Uttarakhand,77179,34402,42777,3802,1813,1989,14516,6153,8363,13324,5719,7605,18317,8255,10062,20557,9363,11194,6663,3099,3564
HARYANA,NCT of Delhi,468298,159307,308991,23855,10483,13372,101726,40096,61630,99823,39289,60534,104783,34880,69903,103045,20562,82483,35066,13997,21069
HARYANA,Rajasthan,611160,126647,484513,32640,14264,18376,84524,21469,63055,84319,18958,65361,139724,27215,112509,236554,32253,204301,33399,12488,20911
HARYANA,Uttar Pradesh,1113535,486470,627065,99909,55609,44300,205910,91906,114004,183095,80527,102568,256549,111718,144831,277074,104310,172764,90998,42400,48598
HARYANA,Bihar,390937,226277,164660,72394,43886,28508,90243,52146,38097,72266,40884,31382,80029,45879,34150,39532,23751,15781,36473,19731,16742
HARYANA,Sikkim,325,168,157,36,13,23,113,59,54,41,22,19,58,32,26,54,31,23,23,11,12
HARYANA,Arunachal Pradesh,387,218,169,71,40,31,120,67,53,62,37,25,78,39,39,30,16,14,26,19,7
HARYANA,Nagaland,487,235,252,59,32,27,153,71,82,72,28,44,65,32,33,62,34,28,76,38,38
HARYANA,Manipur,601,300,301,94,44,50,242,118,124,121,58,63,68,39,29,33,13,20,43,28,15
HARYANA,Mizoram,115,48,67,20,3,17,48,21,27,24,11,13,12,6,6,7,4,3,4,3,1
HARYANA,Tripura,1204,235,969,95,24,71,415,100,315,337,47,290,227,24,203,80,19,61,50,21,29
HARYANA,Meghalaya,481,241,240,49,23,26,156,71,85,106,50,56,86,49,37,48,29,19,36,19,17
HARYANA,Assam,14088,5271,8817,1867,889,978,4791,1940,2851,2283,795,1488,2385,692,1693,1794,497,1297,968,458,510
HARYANA,West Bengal,75893,36375,39518,12954,7391,5563,23493,11435,12058,14163,6673,7490,11939,5151,6788,8133,3146,4987,5211,2579,2632
HARYANA,Jharkhand,20853,10867,9986,3032,2015,1017,6268,3172,3096,4249,2050,2199,3954,1991,1963,1858,882,976,1492,757,735
HARYANA,Odisha,16280,8348,7932,1434,782,652,5291,2669,2622,3402,1774,1628,3127,1641,1486,1836,892,944,1190,590,600
HARYANA,Chhattisgarh,11813,5852,5961,4994,2637,2357,2487,1172,1315,1116,465,651,1101,505,596,784,346,438,1331,727,604
HARYANA,Madhya Pradesh,56240,28229,28011,10493,5686,4807,17238,8677,8561,9276,4636,4640,8124,3815,4309,6121,2697,3424,4988,2718,2270
HARYANA,Gujarat,11250,5330,5920,1424,750,674,3724,1755,1969,1997,928,1069,1773,836,937,1504,629,875,828,432,396
HARYANA,Daman & Diu,32,20,12,5,3,2,12,9,3,11,5,6,1,1,0,0,0,0,3,2,1
HARYANA,Dadra & Nagar Haveli,20,8,12,1,1,0,4,2,2,3,1,2,3,1,2,2,0,2,7,3,4
HARYANA,Maharashtra,30907,13806,17101,3442,1640,1802,11158,4968,6190,5193,2250,2943,4973,2111,2862,3803,1657,2146,2338,1180,1158
HARYANA,Andhra Pradesh,10386,4504,5882,1479,684,795,4099,1879,2220,1378,598,780,1286,518,768,1308,406,902,836,419,417
HARYANA,Karnataka,8084,3937,4147,1374,687,687,3583,1755,1828,1269,622,647,729,338,391,526,231,295,603,304,299
