AreaName,Females_Total,LastResidence,Males_Total,Persons_Business,Persons_Education,Persons_Marriage,Persons_MoveAfterBirth,Persons_MoveWithHH,Persons_Other,Persons_Total,Persons_Work,Males_Business,Males_Education,Males_Marriage,Males_MoveAfterBirth,Males_MoveWithHH,Males_Other,Males_Work,Females_Business,Females_Education,Females_Marriage,Females_MoveAfterBirth,Females_MoveWithHH,Females_Other,Females_Work
UTTARAKHAND,521277,Uttar Pradesh,369386,5587,13211,295933,9335,280962,82175,890663,203460,4415,9419,3796,5511,116111,44453,185681,1172,3792,292137,3824,164851,37722,17779
UTTARAKHAND,29099,Bihar,47017,363,1907,9207,763,24022,7891,76116,31963,292,1546,141,448,9158,5291,30141,71,361,9066,315,14864,2600,1822
UTTARAKHAND,282,Sikkim,330,2,135,57,7,172,130,612,109,2,75,1,3,66,93,90,0,60,56,4,106,37,19
UTTARAKHAND,519,Arunachal Pradesh,713,2,184,62,8,401,386,1232,189,2,123,4,5,156,263,160,0,61,58,3,245,123,29
UTTARAKHAND,345,Nagaland,384,3,66,47,8,356,148,729,101,2,33,1,4,164,99,81,1,33,46,4,192,49,20
UTTARAKHAND,478,Manipur,448,1,176,85,10,371,153,926,130,1,101,3,3,145,99,96,0,75,82,7,226,54,34
UTTARAKHAND,137,Mizoram,149,1,35,19,5,105,83,286,38,1,17,0,3,41,56,31,0,18,19,2,64,27,7
UTTARAKHAND,242,Tripura,259,3,66,35,3,213,104,501,77,2,39,0,2,81,68,67,1,27,35,1,132,36,10
UTTARAKHAND,425,Meghalaya,455,1,68,79,3,414,207,880,108,1,32,1,3,174,148,96,0,36,78,0,240,59,12
UTTARAKHAND,2638,Assam,3093,30,362,679,58,2261,1016,5731,1325,17,236,17,43,925,672,1183,13,126,662,15,1336,344,142
UTTARAKHAND,13966,West Bengal,12332,182,598,6210,193,8658,3654,26298,6803,144,411,109,112,3410,2250,5896,38,187,6101,81,5248,1404,907
UTTARAKHAND,4037,Jharkhand,6731,30,387,1449,103,2625,1141,10768,5033,15,280,19,56,940,766,4655,15,107,1430,47,1685,375,378
UTTARAKHAND,1965,Odisha,2259,15,213,636,39,1312,773,4224,1236,12,140,10,18,444,526,1109,3,73,626,21,868,247,127
UTTARAKHAND,1676,Chhattisgarh,1563,9,136,588,23,1018,477,3239,988,5,104,16,16,368,316,738,4,32,572,7,650,161,250
UTTARAKHAND,6437,Madhya Pradesh,6831,69,715,2094,147,5246,2067,13268,2930,53,559,35,94,2124,1376,2590,16,156,2059,53,3122,691,340
UTTARAKHAND,2470,Gujarat,2874,37,246,564,85,2435,899,5344,1078,28,182,13,57,1010,590,994,9,64,551,28,1425,309,84
UTTARAKHAND,9,Daman & Diu,36,0,1,0,0,12,6,45,26,0,1,0,0,4,5,26,0,0,0,0,8,1,0
UTTARAKHAND,28,Dadra & Nagar Haveli,38,0,5,5,2,29,14,66,11,0,2,0,2,13,10,11,0,3,5,0,16,4,0
UTTARAKHAND,6446,Maharashtra,6668,107,568,1645,223,5809,2475,13114,2287,85,419,36,115,2329,1616,2068,22,149,1609,108,3480,859,219
UTTARAKHAND,1487,Andhra Pradesh,2078,18,531,259,37,1356,613,3565,751,15,455,3,21,508,407,669,3,76,256,16,848,206,82
UTTARAKHAND,1093,Karnataka,1237,18,150,259,32,877,495,2330,499,13,106,5,16,330,327,440,5,44,254,16,547,168,59
UTTARAKHAND,120,Goa,116,1,8,20,2,130,25,236,50,1,5,0,1,50,13,46,0,3,20,1,80,12,4
UTTARAKHAND,125,Lakshadweep,203,1,0,20,11,26,266,328,4,0,0,1,6,13,180,3,1,0,19,5,13,86,1
UTTARAKHAND,982,Kerala,980,5,128,146,24,543,454,1962,662,3,88,2,11,191,275,410,2,40,144,13,352,179,252
UTTARAKHAND,765,Tamil Nadu,983,8,92,123,13,647,363,1748,502,5,70,1,5,220,249,433,3,22,122,8,427,114,69
UTTARAKHAND,32,Puducherry,37,1,3,9,1,27,8,69,20,1,2,0,1,13,3,17,0,1,9,0,14,5,3
UTTARAKHAND,51,Andaman & Nicobar Islands,59,0,7,15,2,39,26,110,21,0,6,0,1,16,20,16,0,1,15,1,23,6,5
UTTARAKHAND,4362,Other Countries,3236,36,275,2250,222,1651,2329,7598,835,28,188,21,120,759,1423,697,8,87,2229,102,892,906,138
HARYANA,8929,Jammu & Kashmir,8771,132,286,2305,444,6684,5054,17700,2795,91,148,55,254,2646,3192,2385,41,138,2250,190,4038,1862,410
HARYANA,38923,Himachal Pradesh,21663,366,686,23942,2226,15927,6425,60586,11014,249,370,362,1351,6160,3430,9741,117,316,23580,875,9767,2995,1273
HARYANA,376536,Punjab,161792,3796,2230,274652,37003,105343,53677,538328,61627,2751,1143,4998,23675,48630,27298,53297,1045,1087,269654,13328,56713,26379,8330
