AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
DADRA & NAGAR HAVELI,Assam,1484,1324,160,1158,1130,28,7,7,0,2,2,0,26,2,24,5,3,2,134,34,100,152,146,6
DADRA & NAGAR HAVELI,West Bengal,2962,2175,787,1749,1689,60,74,73,1,23,21,2,184,2,182,51,29,22,697,213,484,184,148,36
DADRA & NAGAR HAVELI,Jharkhand,2205,1759,446,1516,1481,35,26,22,4,6,6,0,99,6,93,24,11,13,406,131,275,128,102,26
DADRA & NAGAR HAVELI,Odisha,4339,3364,975,2931,2840,91,36,34,2,6,5,1,215,6,209,54,25,29,832,248,584,265,206,59
DADRA & NAGAR HAVELI,Chhattisgarh,343,207,136,173,146,27,7,6,1,0,0,0,27,1,26,10,5,5,102,31,71,24,18,6
DADRA & NAGAR HAVELI,Madhya Pradesh,4707,3622,1085,3015,2935,80,48,45,3,6,5,1,193,3,190,55,33,22,1113,386,727,277,215,62
DADRA & NAGAR HAVELI,Gujarat,30177,12090,18087,6242,5574,668,793,717,76,178,129,49,11002,669,10333,1064,580,484,7941,3007,4934,2957,1414,1543
DADRA & NAGAR HAVELI,Daman & Diu,1080,488,592,273,249,24,12,11,1,3,2,1,283,11,272,64,44,20,332,129,203,113,42,71
DADRA & NAGAR HAVELI,Maharashtra,25860,12944,12916,7724,7146,578,569,524,45,129,79,50,5159,173,4986,897,506,391,9238,3358,5880,2144,1158,986
DADRA & NAGAR HAVELI,Andhra Pradesh,748,415,333,265,253,12,11,10,1,3,3,0,66,2,64,34,18,16,312,97,215,57,32,25
DADRA & NAGAR HAVELI,Karnataka,1000,545,455,354,320,34,30,29,1,9,6,3,107,4,103,46,25,21,379,114,265,75,47,28
DADRA & NAGAR HAVELI,Goa,117,61,56,45,39,6,2,2,0,3,3,0,12,2,10,4,2,2,43,9,34,8,4,4
DADRA & NAGAR HAVELI,Lakshadweep,68,39,29,14,14,0,0,0,0,2,1,1,1,0,1,0,0,0,45,19,26,6,5,1
DADRA & NAGAR HAVELI,Kerala,1400,782,618,535,490,45,31,27,4,4,3,1,184,4,180,59,26,33,470,167,303,117,65,52
DADRA & NAGAR HAVELI,Tamil Nadu,559,319,240,223,210,13,14,10,4,0,0,0,53,2,51,20,15,5,210,60,150,39,22,17
DADRA & NAGAR HAVELI,Puducherry,9,5,4,4,4,0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0
